content,stars,title
"O quarto é amplo e silencioso, com uma cama confortável e as principais facilidades presentes, como: mesa para trabalhar, criado mudo, frigobar, ferro/tábua de passar e guarda roupas.",1,Não recomendo
"O melhor hotel das imediações. Ótimo atendimento e a dedicação dos funcionários fizeram toda a diferença para minha estadia. Hotel grande e confortável, quartos padrão, de tamanho médio. Ótimo café da manhã.",4,Satisfeito
localização interessanteacesso fácil ao local onde eu precisava estaragilidade na terceirização de serviço como Ubercafé da manha bomacesso a fumantes nos fundos com privacidadecordialidade da recepçãoqualidade do quarto quanto a barulho,5,HOSPÉDAGEM
"Localização central, quartos espaçosos e limpos, equipe atenciosa. Jantar do restaurante do hotel um pouco fraco. Quartos silenciosos e com boa iluminação. Banheiros amplos, limpos e confortáveis. Recomendo.",2,Hospedagem seminário de contabilidade
"Poderia melhorar a qualidade do cafe da manha, mais variaçoes.A internet ja é boa porem pode melhorarGostei muito do atendimento, todos os funcionarios sao muito gentis e atenciosos Muito bem localizado",3,JÁ FOI MELHOR
"Boa tarde sr. Daniel,",4,Excelente Custo-Benefício com boa localização.
Boa tarde!,5,Agradável estadia em POA
"Boa tarde,",4,Muito recomendável
"Olá,",4,Muito bom para viagens a negócios
"Fabiano, agradecemos seus comentários, pois, como já havíamos  conversado, sua opinião é muito importante e faz com que continuemos em busca da excelência de nossos serviços e instalações.",3,Pensei ser melhor
"Por se tratar da rede Novotel, achei que fosse melhor.",5,Ótimo atendimento
"Recepcionistas carrancudos e secos sem o preparo necessário a função. Quartos com pequenos problemas de manutenção principalmente no banheiro que no meu caso tinha estrutura da pia aparente e enferrujada, espelho móvel com suporte quebrado e box com manchas de mofo nos rejuntes. Corredores com diversas marcas de infiltração no gesso o que da uma aparência desleixada e desagradável.",4,Hotel moderno com excelente café
Tive a oportunidade de me hospedar em alguns Hotéis Ibis em diversas cidades e regiões.,3,Lotado!
"Quartos simples, camas confortáveis, bom chuveiro, ar condicionado, TV tela plana, frigobar. Localizado em frente a praia de PItuba com bom comércio no entorno, mercado, bancos, restaurantes posto de gasolina. Pode-se ir a pe para a praia de Amaralina.",5,É como estar em casa
"Frequento o Verdemar faz quase um ano e meio. É sempre um local acolhedor, seguro, limpo. Os funcionários são muito atenciosos e dispostos a servir bem. O café da manhã é excelente. Uma casa fora de casa.",4,Hospedagem
"Gostei do hotel está localizado em um bairro tranquilo a hospedagem foi maravilhosa,pois chegamos antes do check e os funcionários logo deixaram nos entrarmos. O quarto q eu e minha mãe ficamos para ela q tem problemas de alergia alergicas estava com um pouco de cheiro de moço e tbm senti falta de um secador.Os funcionários estão de parabéns pelo atendimento foram super gentis. ",3,Turismo
"Este Hotel tem uma localização privilegiada no coração da Pituba a vista para o mar é linda e os quartos apesar de simples são amplos, tem transporte púbico na frente, comércio, restaurantes e um calçadão fantástico onde você pode fazer uma caminhada curtindo a brisa do Mar.",5,Bom hotel para viagens comerciais
"Prezado Sr. Vergilio,",5,Atendimento cordial
"A meu ver, o ponto forte do hotel é o café da manhã. Tudo muito bom, com grande variedade em salgado e doce. É um hotel focado para quem vai a negócios, não apresenta lazer. O atendimento é bem atencioso. A internet disponibilizada não é das melhores.",3,Bom hotel e café da manha
"Prezado Sr. Abrahao,",5,Excelente atendimento
"Prezada hóspede,",5,Excelente hospedagem
"Prezado VViaja, ",3,Olho no câmbio! Hotel cheio de pegadinhas!
"Prezada hóspede,",5,Atendimento diferenciado
"Somente não avaliei bem, foi o acesso a internet, muito confusa pra leigos e as vezes não funcionava, no restaurante era uma rede no quarto outra rede, no lobby do hotel eram as duas redes ai não funcionava direito. No restante dou 10 !!!!!! Parabéns a todos !!!!!",5,Ambiente agradavel!
"Prezada hóspede,",4,"Um bom hotel, com excelente Spa."
"Ambiente agradável, atendimento excelente, quartos confortáveis, café da manhã com uma grande variedade, agilidade no check-in e check-out, funcionários sempre dispostos a ajudar e muito simpáticos, serviço de quarto 24h, volto e recomendo.",4,Muito bom. Excelente localização
"Prezada hóspede,",5,Muito bom
O hotel é realmente muito bom. O atendimento desde o check-in até o check-out foi impecável. ,4,Excelente hotel
"Hotel da rede Radisson, localizado próximo à Avenida Paulista, quarto bem confortável, de bom tamanho, reformulado. O café da manhã é excelente, assim como o buffett do almoço, espetacular. Altamente recomendado",5,Parabéns Equipe Radisson Paulista!
